1200142,Apricot Hyppie Girl Blonde,Witch's Hat Brewing Co.,Blonde Ale,(3.6), 4.5% ABV , No IBU , 143 Ratings , Added 08/15/15 ,/WitchsHatBrewingCo
1200144,Pekko IPA,Rare Bird Brewpub,IPA - American,(3.69), 6.3% ABV , 75 IBU , 115 Ratings , Added 08/15/15 ,/RareBirdBrewpub
1200145,Ayla's Berlinerweisse,Barren Hill Tavern & Brewery,Sour - Berliner Weisse,(3.36), No ABV , No IBU , 128 Ratings , Added 08/15/15 ,/BarrenHillTavernBrewery
1200146,A Canny Wee Lass,Capitol City Brewing Company,Scottish Ale,(3.54), 5.1% ABV , 18 IBU , 297 Ratings , Added 06/22/13 ,/CapitolCityBrewingCompany
1200147,Summit Pale,The Livery,Pale Ale - American,(3.76), 5.1% ABV , 60 IBU , 211 Ratings , Added 10/19/14 ,/liverybrew
1200150,Beer Goggles Session CDA,Deschutes Brewery,IPA - Black / Cascadian Dark Ale,(3.64), 5% ABV , 90 IBU , 167 Ratings , Added 08/15/15 ,/DeschutesBrewery
1200154,New Phenix Lager,Motor Row Brewing,Lager - Helles,(3.48), 5% ABV , No IBU , 768 Ratings , Added 08/15/15 ,/MotorRowBrewing
1200157,Franz,Rhinegeist Brewery,M�rzen,(3.6), 5.4% ABV , 20 IBU ," 13,821 Ratings ", Added 09/15/13 ,/Rhinegeist
1200160,Outerweiss Hefeweizen,Outer Light Brewing Company,Hefeweizen,(3.7), 5.1% ABV , 7 IBU , 897 Ratings , Added 05/30/15 ,/OLBC
1200161,Leffe Vieille Cuv�e,Abbaye de Leffe,Belgian Strong Dark Ale,(3.68), 8.2% ABV , 20 IBU ," 6,632 Ratings ", Added 10/01/10 ,/w/abbaye-de-leffe/5
1200162,Czech Pilsner,Deep Draft Brewing Co,Pilsner - Czech,(3.26), 4.7% ABV , No IBU , 146 Ratings , Added 08/15/15 ,/DeepDraftBrewingCo
1200163,Noble Stout,Indianola Ales,"Homebrew, Stout - Russian Imperial",(4.01), 10.2% ABV , 68 IBU , 18 Ratings , Added 08/15/15 ,/IndianolaAles
1200164,Holy Water(melon),Reverend Nat's Hard Cider,Cider - Other,(3.7), 4.3% ABV , No IBU , 380 Ratings , Added 07/28/14 ,/revnatscider
1200165,Black Fly Ipa,Blueline Brewery,"Homebrew, IPA - Black / Cascadian Dark Ale",(3.52), No ABV , No IBU , 12 Ratings , Added 08/15/15 ,/BluelineBrewery
1200170,Chocolate Hazelnut,Tradesman Brewing Company,Brown Ale - American,(3.87), 6.2% ABV , 23 IBU , 39 Ratings , Added 08/15/15 ,/TradesmanBrewingCompany
1200171,Black Saison,New Planet,Saison / Farmhouse Ale,(3.22), 5.1% ABV , 28 IBU , 15 Ratings , Added 08/15/15 ,/w/new-planet/7719
1200172,Wet Hopped American Summer,Amplified Ale Works,IPA - American,(3.46), 4.2% ABV , No IBU , 86 Ratings , Added 08/15/15 ,/Amplified_Ale_Works
1200174,Pale Ale,Norris English Pub,Pale Ale - English,(3.79), No ABV , No IBU , 49 Ratings , Added 08/15/15 ,/NorrisEnglishPub
1200175,Horicon Session IPA,Central Waters Brewing Company,IPA - Session / India Session Ale,(3.47), 4.5% ABV , 30 IBU ," 12,955 Ratings ", Added 07/15/15 ,/CentralWatersBrewingCompany
1200177,Doble Roja,Valiant Brewing Company,Red Ale - American Amber / Red,(3.66), 6.8% ABV , No IBU , 152 Ratings , Added 08/15/15 ,/ValiantBrewingCompany
1200178,Grandpa Tractor With Lime And Ginger,Barley Forge Brewing Co.,Lager - Dortmunder / Export,(3.55), 5% ABV , No IBU , 16 Ratings , Added 08/15/15 ,/barleyforge
1200179,Boiling Pot,Bell's Brewery,Pale Ale - American,(3.55), 4.3% ABV , No IBU ," 4,180 Ratings ", Added 03/07/15 ,/bellsbrewery
